Name,US release Date,mcu_phase,Director,Producer,movie_duration,IMDB rating,metascore,tomato_meter,audience_score,Oscar Nomination,Oscar won,production_budget,opening_weekend,domestic_box_office,worldwide_box_office,IMDB rating %,metascore %,tomato_meter %,audience_score %,Andrew Garfield,Angela Bassett,Angelina Jolie,Anthony Hopkins,Awkwafina,Barry Keoghan,Ben Kingsley,Ben Mendelsohn,Benedict Cumberbatch,Benedict Wong,Bradely Cooper,Bradley Cooper,Brian Tyree Henry,Brie Larson,Cate Blanchett,Chadwick Boseman,Chiswetel Ejiofor,Chris Evans,Chris Hemsworth,Chris Patt,Chris Pratt,Christian Bale,Chukwudi Iwuji,Corey Stall,Danai Gurira,Dave Bautista,David Harbour,Edward Norton,Elizabeth Olsen,Evangeline Lilly,Florence Pugh,Gemma Chan,Guy Pearce,Gweneth Paltrow,Hugo Weaving,Iman Vellani,Jake Gyllenhaal,Jeremy Renner,Jon Favreau,Jonathan Majors,Josh Brolin,Kathryn Newton,Kit Harington,Kumail Nanjiani,Lauren Ridloff,Letitia Wright,Lia McHugh,Liv Tyler,Lupita Nyong'o,Ma Dong-seok,Mark Ruffalo,Martin Freeman,Michael B. Jordan,Michael Douglas,Michael Keaton,Micheal Pena,Michelle Pfeiffer,Mickey Rourke,Natalie Portman,Paul Rudd,Pom Klementieff,Racheal McAdams,Rachel Weisz,Richard Madden,Robert Downey Jr.,Salma Hayek,Samuel L. Jackson,Scarlett Johansson,Sebastian Stan,Simu Liu,Tenoch Huerta,Terrence Howard,Tessa Thompson,Teyonah Parris,Tim Roth,Toby Maguire,Tom Hiddleston,Tom Holland,Tony Leung Chiu-wai,Vin Diesel,Winston Duke,Xochitl Gomez,Zendaya,Zoe Saldana,Action,Adventure,Comedy,Drama,Fantasy,Horror,Romance,Sci-Fi,Time Since Last Release,year,inflation_adjusted_production_budget,inflation_adjusted_worldwide_box_office,inflation_adjusted_domestic_box_office,inflation_adjusted_opening_weekend
Avengers : Age of ultron,2015-05-01,2,Joss Whedon,Kevin Feige,141,7.3,66.0,76,83,0.0,0.0,365000000,191271109,459005868,1395316979,0.73,0.66,0.76,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,273,2015,522174535.0500715,1996161629.4706721,656660755.3648068,273635349.0701001
Ant-Man,2015-07-17,2,Peyton Reed,Kevin Feige,117,7.3,64.0,83,85,0.0,0.0,130000000,57225526,180202163,518858449,0.73,0.64,0.83,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,77,2015,185979971.38769668,742286765.379113,257799947.0672389,81867705.2932761
Captain America: Civil War,2016-05-06,3,Anthony and Joe Russo,Kevin Feige,146,7.8,75.0,90,89,0.0,0.0,250000000,179139142,408084349,1151918521,0.78,0.75,0.9,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,294,2016,349650349.6503496,1611074854.5454543,570747341.2587411,250544254.54545453
Doctor Strange ,2016-11-04,3,Scott Derrickson,Kevin Feige,115,7.5,72.0,89,86,1.0,0.0,165000000,85058311,232641920,676354481,0.75,0.72,0.89,0.86,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,182,2016,230769230.76923075,945950323.076923,325373314.68531466,118962672.72727272
Guardians of the Galaxy Vol. 2,2017-05-05,3,James Gunn,Kevin Feige,135,7.6,67.0,85,87,1.0,0.0,200000000,146510104,389813101,869113101,0.76,0.67,0.85,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,182,2017,269541778.97574127,1171311456.8733153,525354583.5579515,197452970.35040432
Spider-Man:Homecoming,2017-07-07,3,Jon Watts,Kevin Feige and Amy Pascal,133,7.4,73.0,92,87,0.0,0.0,175000000,117027503,334201140,878346440,0.74,0.73,0.92,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,63,2017,235849056.6037736,1183755309.9730458,450405849.0566038,157719006.73854446
Thor:Ragnarok,2017-11-03,3,Taika Waititi,Kevin Feige,130,7.9,74.0,93,87,0.0,0.0,180000000,122744989,315058289,850482778,0.79,0.74,0.93,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,119,2017,242587601.0781671,1146203204.851752,424606858.490566,165424513.47708896
Black Panther,2018-02-16,3,Ryan Coogler,Kevin Feige,134,7.3,88.0,96,79,7.0,3.0,200000000,202003951,700059566,1336494321,0.73,0.88,0.96,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,105,2018,259067357.51295337,1731210260.3626943,906812909.3264248,261663148.96373057
Avengers: Infinity War,2018-04-27,3,Anthony and Joe Russo,Kevin Feige,149,8.4,68.0,85,91,1.0,0.0,300000000,257698183,678815482,2048359754,0.8400000000000001,0.68,0.85,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,70,2018,388601036.26943004,2653315743.523316,879294665.8031088,333805936.5284974
Ant-Man and the Wasp,2018-07-06,3,Peyton Reed,Kevin Feige and Stephen Broussard,118,7.0,70.0,87,81,0.0,0.0,130000000,75812205,216648740,623144660,0.7,0.7,0.87,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,70,2018,168393782.3834197,807182202.0725389,280633082.9015544,98202338.08290155
